Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
1;weg;Plantopografie van wegdelen.;;01-09-2014;
2;spoor;Plantopografie van spoorbaandelen.;;01-09-2014;
3;water;Plantopografie van waterdelen.;;01-09-2014;
4;overig;Plantopografie van overiege objectklassen.;;01-09-2014;
