Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
1;met riet;Met riet bedekt terreinoppervlak;;01-09-2014;
2;dras, moerassig;Natte, moerassige grond.;;01-09-2014;
