Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
1;op vast deel van brug;Gelegen op een niet beweegbaar deel van een kunstwerk dat een verbinding vormt door middel van een overspanning.;;01-09-2014;
2;op beweegbaar deel van brug;Gelegen op een beweegbaar deel van een kunstwerk dat een verbinding vormt door middel van een overspanning.;;01-09-2014;
3;op rotonde;Deel van weg onderdeel zijnde van een rotonde;;01-09-2014;
4;op oprit / afrit;Deel van weg onderdeel zijnde van een op- of afrit van een autosnelweg of hoofdweg;;01-09-2014;
5;op knooppuntverbinding;Deel van een weg gelegen op een verkeersknooppunt van snelwegen;;01-09-2014;
6;overkluisd;Wegdeel overbouwd door een gebouw.;;01-09-2014;
7;in tunnel;Gelegen in een kunstmatig aangelegde, onderaardse of door een berg geboorde kokervormige doorgang;;01-09-2014;
