"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","overkluisd","Terrein overbouwd door bebouwing of door een al dan niet licht doorlatend dak, zodanig dat de orthogonale projectie van de bebouwing of het dak op of over het object valt.","","01-09-2014",""
"2","in tunnel","Terrein gelegen in een kunstmatig aangelegde, onderaardse of door een berg geboorde kokervormige doorgang.","","01-09-2014",""
"3","op vast deel van brug","Terrein gelegen op een kunstwerk dat een vaste verbinding vormt door middel van een overspanning.","","01-09-2014",""
"4","op beweegbaar deel van brug","Terrein gelegen op een kunstwerk dat een beweegbare verbinding vormt door middel van een overspanning","","01-09-2014",""
