"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","op vast deel van brug","Spoorbaandeel gelegen op een niet beweegbaar deel van een kunstwerk dat een verbinding vormt door middel van een overspanning","","01-09-2014",""
"2","op beweegbaar deel van brug","Spoorbaandeel gelegen op een beweegbaar deel van een kunstwerk dat een verbinding vormt door middel van een overspanning.","","01-09-2014",""
"3","overkluisd","Spoorbaandeel overbouwd door bebouwing of door een al dan niet licht doorlatend dak, zodanig dat de orthogonale projectie van de bebouwing of het dak op of over het object valt.","","01-09-2014",""
"4","in tunnel","Spoorbaandeel gelegen in een kunstmatig aangelegde, onderaardse of door een berg geboorde kokervormige doorgang","","01-09-2014",""
