"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","woonkern","Bebouwd gebied omsloten door blauwe plaatsnaamborden.","","01-09-2014",""
"2","industriekern","Bebouwd gebied omsloten door plaatsnaamborden (zowel blauw als wit) met industriële functie.","","01-09-2014",""
"3","recreatiekern","Bungalowparken omsloten door plaatsnaamborden (zowel blauw als wit).","","01-09-2014",""
"4","deelkern","Woonkern gelegen binnen de bebouwde kom van een andere plaats.","","01-06-2015",""
"5","gehucht","Woonplaats of huizengroep zonder bebouwde kom.","","01-09-2014",""
"6","buurtschap","Verspreid staande bebouwing in landelijk gebied met een zekere mate van sociale integratie van de inwoners.","","01-09-2014",""
"7","stadsdeel","Deel van een stad of wijk.","","01-09-2014",""
"8","wijk","Gedeelte van een stad of dorp dat ruimtelijk min of meer een afgesloten geheel vormt.","","01-09-2014",""
"9","buurt","Gedeelte van een stad of dorp, met zekere mate van sociale intergratie van de bewoners.","","01-09-2014",""
