"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"77","vakantiepark","Een terrein met voorzieningen t.b.v. verblijfsrecreatie, waarop een combinatie van bungalows en / of stacaravans en / of kampeerplaatsen voorkomt","","01-02-2019",""
"78","verdedigingswerk","Historisch verdedigingswerk, al dan niet voorzien van een of meer (door aarde bedekte) gebouwen of ruïnes","","01-02-2019",""
"53","verzorgingsplaats","Locatie langs een autosnelweg  of hoofdweg met een parkeerfunctie, meestal in combinatie met een brandstofverkooppunt en soms aangevuld met een wegrestaurant","","01-09-2014",""
"54","viskwekerij","Terrein met bassins, aangelegd voor het kweken van vis.","","01-09-2014",""
"79","visvijvercomplex","Het geheel aan voorzieningen t.b.v. sportvissen","","01-02-2019",""
"55","vliegveld, luchthaven","Vliegveld voor verkeersvliegtuigen met groot, effen terrein met al dan niet verharde banen, waar vliegtuigen kunnen opstijgen en landen, eventueel met accomodatie voor ontvangst en vertrek van passagiers en verzending van goederen.","","01-09-2014",""
"56","volkstuinen","Het geheel aan voorzieningen t.b.v. hobbytuinbouw","","01-09-2014",""
"57","waterkering","Geheel van een dijk of dam, inclusief talud","","01-09-2014",""
"58","werf","Werkplaats waar schepen worden gebouwd of hersteld.","","01-09-2014",""
"59","wildwissel","Civieltechnisch kunstwerk om dieren een veilige oversteek te bieden over of onder een weg.","","01-09-2014",""
"60","windturbinepark","Concentratie van windturbines","","01-09-2014",""
"61","woonwagencentrum","Plaats waar gewoond wordt in woonwagens.","","01-09-2014",""
"62","ijsbaan","Voorziening in de open lucht waar in de winter geschaatst kan worden","","01-09-2014",""
"63","zandwinning","Gebied waar winning van zand plaatsvindt door middel van zuigen","","01-09-2014",""
"64","zenderpark","Gebied waar meerdere zendmasten staan opgesteld","","01-09-2014",""
"65","ziekenhuiscomplex","Het geheel van gebouwen die tesamen een ziekenhuis vormen","","01-09-2014",""
"72","zonnepark","Gebied waar zonneenergie opgewekt of omgezet wordt.","","01-09-2017",""
"66","zoutwinning","Gebied waar zoutwinning plaatsvindt.","","01-09-2014",""
"67","zuiveringsinstallatie","Het gebied omvattende het geheel aan voorzieningen t.b.v. de zuivering van afvalwater","","01-09-2014",""
"68","zweefvliegveldterrein","Het geheel aan terreinen, gebouwen enz.  voor (de beoefening van) de zweefvliegsport","","01-09-2014",""
"69","zwembad complex","Het geheel aan voorzieningen rond een openbaar zwembad","","01-09-2014","01-09-2017"
"71","zwembadcomplex","Het geheel aan voorzieningen rond een openbaar zwembad","","01-09-2017",""
"70","overig","Het type functioneelgebied is bekend, maar anders dan de genoemde waarden","","01-09-2014",""
