"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","waterloop","Langgerekt waterdeel in de vorm van een sloot, rivier, kanaal, enz.","","01-09-2014",""
"2","meer, plas","Water (meestal) niet gelegen in een waterloop","","01-09-2014",""
"3","greppel, droge sloot","Een in het algemeen niet watervoerende sloot.","","01-09-2014",""
"4","zee","Uitgestrekt oppervlak zout water dat het grootste deel van de aarde bedekt","","01-09-2014",""
"5","droogvallend","Geheel of gedeeltelijk droogvallende gronden, buitendijks gelegen","","01-09-2014",""
"8","droogvallend (LAT)","Geheel of gedeeltelijk droogvallende gronden ten opzichte van het Laagste Astronomisch Getij, buitendijks gelegen","","01-09-2017",""
"6","bron, wel","Plaats waar op natuurlijke wijze water uit de grond opwelt","","01-09-2014",""
"7","overig","De waarde van het objectkenmerk is bekend, maar anders dan de genoemde waarden","","01-09-2014",""
