Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
1;land;Begrenzing van Nederland, begrenst door België, Duitsland en de 12-mijls zone.;;01-09-2014;
2;provincie;Staatkundig onderdeel van Nederland.;;01-09-2014;
3;gemeente;Zelfstandig, zelfbestuur en autonomie bezittend onderdeel van de staat Nederland, onder het bestuur van een raad, een burgemeester en wethouders.;;01-09-2014;
4;territoriale zee;Een zeestrook, grenzend aan het landgebied van Nederland waarover de soevereiniteit van Nederland zich uitstrekt.;;01-09-2014;
5;waterschap;Lichaam dat, onder toezicht van de Provinciale Staten, in een bepaald gebied voor waterlozing en waterkering zorgt.;;01-09-2014;
