"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","ondergronds","Gebouw gelegen onder het maaiveld","","01-09-2014",""
"2","overkluisd","Gebouw overbouwd door andere bebouwing","","01-09-2014",""
