"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","< 1 meter","De hoogte van een wal, talud of steile rand is lager dan 1 meter.","","01-09-2014",""
"2","1 - 2,5 meter","De hoogte van een wal, talud of steile rand is tussen 1 en 2,5 meter.","","01-09-2014",""
"3","> 2,5 meter","De hoogte van een wal, talud of steile rand is hoger dan 2,5 meter.","","01-09-2014",""
