Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
1;gemengd gebruik;Spoorbaan, zowel bestemd voor personen- als goederenvervoer;;01-09-2014;
2;personenvervoer;Spoorbaan, alleen bestemd voor personenvervoer;;01-09-2014;
3;goederenvervoer;Spoorbaan, alleen bestemd voor goederenvervoer;;01-09-2014;
4;museumlijn;Spoorbaan, enkel in gebruik als toeristische attractie.;;01-09-2014;
