Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
57;treinstation;Halte aan een spoorlijn;;01-09-2014;
58;verkeersgeleider;Obstakel op een weg om het verkeer in goede banen te leiden;;01-09-2014;
59;vlampijp;Affakkelinstallatie.;;01-09-2014;
60;vliedberg;Verhoging in het terrein ter bescherming van de daarop geplaatste bebouwing tegen hoogwater;;01-09-2014;
61;wegafsluiting;Een fysieke permanente of tijdelijke barrière in of dwars over een weg voor tenminste een gedeelte van de gebruikers van die weg. (b.v paaltjes, slagboom, toegangshek, etc.);;01-09-2014;
62;wegwijzer;Richtingaanduiding.;;01-09-2014;
63;windmolentje;Een vrij op de wind draaiend molentje (met wieken of een rad van schoepen) van metaal en/of kuststof, bestemd voor het bemalen van een sloot. / Klein type molen, herkenbaar aan schuin op een stellage geplaatste wieken, bestemd voor het bemalen van het omliggende terrein (tjasker).;;01-09-2014;
64;zendmast;Telecommunicatietoren (toren t.b.v. datacommunicatie). / Zendtoren (toren met een zendantenne) / Zend- en/of ontvangstmast (hoge, open constructie t.b.v. het uitzenden en/of ontvangen van beeld- en/of geluidssignalen).;;01-09-2014;
65;zichtbaar wrak;Wrak van vergaan schip dat (deels) boven water uitsteekt.;;01-09-2014;
66;overig;Het type inrichtingselement is bekend, maar anders dan de genoemde waarden;;01-09-2014;
