"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","wal","Langgerekte ophoging in het terrein met een hoogte tussen 0,50 en 1,00 meter.","","01-09-2014",""
"2","talud, hoogteverschil","Plaatselijk glooiende terreinverheffing of -inzinking (hoogteverschil). / Schuinte van het zijvlak van aardwerken, dijken, spoorbanen, vestingwerke, etc (talud)","","01-09-2014",""
"3","steile rand, aardrand","Plotselinge terreinverheffing of inzinking.","","01-09-2014",""
