Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
1;laagbouw;Bebouwing met een hoogte van 35 meter of lager en bestaande uit minder dan 10 woonlagen.;;01-09-2014;
2;hoogbouw;Gebouwen (als zelfstandige eenheid of onderdeel van een groter gebouw) hoger dan 35  meter of bestaande uit 10 of meer woonlagen;;01-09-2014;
