"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","verbinding","Spoorlijn.","","01-09-2014",""
"2","kruising","Punt waar drie of meer spoorlijnen op aansluiten.","","01-09-2014",""
