"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","0,5 - 3 meter","De breedte van het water is groter dan of gelijk aan 0,5 meter en minder dan 3 meter.","","01-09-2014",""
"2","3 - 6 meter","De breedte van het water is groter dan of gelijk aan 3 meter en minder dan 6 meter.","","01-09-2014",""
"3","6 - 12 meter","De breedte van het water is groter dan of gelijk aan 6 meter en minder dan 12 meter.","","01-09-2014",""
"4","12 - 50 meter","De breedte van het water is groter dan of gelijk aan 12 meter en minder dan 50 meter.","","01-09-2014",""
"5","50 - 125 meter","De breedte van het water is groter dan of gelijk aan 50 meter en minder dan 125 meter.","","01-09-2014",""
"6","> 125 meter","De breedte van het water is groter dan 125 meter.","","01-09-2014",""
