Code;Waarde;Omschrijving;Inwinningscriteria;DatumVanaf;DatumTot
1;trein;Spoorbaandeel bestemd voor railvoertuig voor de langere afstand dat sneller dan 45 km per uur kan, bestaande uit een enkele of een reeks van locomotieven, treinstellen en/of wagons;;01-09-2014;
2;tram;Spoorbaandeel bestemd voor railvoertuig ten behoeve van personenvervoer over korte afstand, niet harder rijdend dan 45 km per uur.;;01-09-2014;
3;sneltram;Spoorbaandeel bestemd voor railvervoer ten behoeve van personenevervoer over korte afstand sneller dan 45 km per uur.;;01-09-2014;
4;metro;Spoorbaandeel bestemd voor al dan niet ondergrondse personentrein in een grote stad.;;01-09-2014;
5;gemengd;Spoorbaandeel bestemd voor een combinatie van zowel trein, metro, sneltram of tramverkeer;;01-09-2014;
