"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"57","stationsgebouw","Een gebouw dat speciaal bedoeld is voor het bedienen van treinreizigers","","01-09-2014",""
"58","synagoge","Bebouwing bedoeld voor joodse geloofsuitoefening","","01-09-2014",""
"59","tank","Rond bouwwerk t.b.v. opslag van vloeistof","","01-09-2014",""
"60","tankstation","Inrichting waar motorbrandstof, olie, lucht en koelwater kunnen worden verkregen.","","01-09-2014",""
"61","telecommunicatietoren","Toren t.b.v. datacommunicatie","","01-09-2014",""
"62","tol","Een tol is een gebouw aan een verkeers- of waterweg waar tol wordt geheven","","01-09-2014",""
"63","toren","Vrijstaand bouwwerk van grote hoogte in verhouding tot de doorsnede","","01-09-2014",""
"64","transformatorstation","Installatie voor het transformeren van elektrische stroom.","","01-09-2014",""
"65","uitzichttoren","Toren t.b.v. de recreatie","","01-09-2014",""
"66","universiteit","Instelling voor wetenschappelijk onderwijs","","01-09-2014",""
"67","veiling","Gebouw waar goederen openbaar worden geveild","","01-09-2014",""
"68","verkeerstoren","Toren t.b.v. verkeersregulatie te land, ter zee of in de lucht","","01-09-2014",""
"69","vuurtoren","Toren als drager van een ter oriëntatie dienend licht, met name langs de kust. Het lichtpatroon van de vuurtoren is uniek t.o.v. elke andere vuurtoren of lichttoren.","","01-09-2014",""
"70","waterradmolen","Bebouwing t.b.v. het verrichten van arbeid, waarvoor de energie geleverd wordt door stromend water en opgenomen door middel van een schoepenrad.","","01-09-2014",""
"71","watertoren","Toren (oorspronkelijk) bedoeld voor de opslag van drinkwater","","01-09-2014",""
"72","wegrestaurant","Restaurant op verzorgingsplaats langs autosnelweg of hoofdweg","","01-09-2014",""
"73","werf","Werkplaats waar schepen worden gebouwd of hersteld","","01-09-2014",""
"74","windmolen","Bebouwing t.b.v. het verrichten van arbeid (m.u.v. het opwekken van elektrische energie, het malen van granen en het opvijzelen van water), waarvoor de energie geleverd wordt door wind en opgenomen door middel van wieken","","01-09-2014",""
"75","windmolen: korenmolen","Bebouwing t.b.v. het malen van granen, waarvoor de energie geleverd wordt door wind en opgenomen door middel van wieken.","","01-09-2014",""
"76","windmolen: watermolen","Bebouwing t.b.v. het opvijzelen van water, waarvoor de energie geleverd wordt door wind en opgenomen door middel van wieken.","","01-09-2014",""
"77","windturbine","Bebouwing t.b.v. het opwekken van elektrische energie, waarvoor de energie geleverd wordt door wind en opgenomen door middel van wieken.","","01-09-2014",""
"78","zendtoren","Toren met een zendantenne","","01-10-2014",""
"79","ziekenhuis","Instelling voor onderzoek, behandeling en verpleging van patiënten.","","01-09-2014",""
"80","zwembad","Gebouw met zwemfunctionaliteit of een zwembassin, openbaar toegankelijk.","","01-09-2014",""
"81","overig","De waarde van het objectkenmerk is bekend, maar anders dan de genoemde waarden.","","01-09-2014",""
