"Code","Waarde","Omschrijving","Inwinningscriteria","DatumVanaf","DatumTot"
"1","woonkern","Bebouwingskern met hoofdzakelijk een woonfunctie, die tevens een bebouwde kom voor de Wegenverkeerswet is.","","01-09-2014",""
"2","industriekern","Bebouwingskern met hoofdzakelijk een bedrijfsmatige functie, zoals een bedrijventerrein, een haven of een vliegveld, voorzien van openbare wegen.","","01-09-2014",""
"3","recreatiekern","Bungalowparken omsloten door plaatsnaamborden (zowel blauw als wit).","","01-09-2014",""
"4","deelkern","Historische bebouwingskern, ruimtelijk te onderscheiden van de omliggende bebouwing, gelegen binnen een bebouwde kom voor de Wegenverkeerswet van een andere plaats.,"","01-06-2015",""
"5","gehucht","Kleine bebouwingskern of concentratie van aaneengesloten bebouwing, niet zijnde lintbebouwing, die geen bebouwde kom voor de Wegenverkeerswet vormt.","","01-09-2014",""
"6","buurtschap","Lintbebouwing of verspreid staande bebouwing in landelijk gebied met een zekere mate van sociale samenhang, die geen bebouwde kom voor de Wegenverkeerswet vormt.","","01-09-2014",""
"7","stadsdeel","Grote administratief-geografische eenheid binnen een stedelijke gemeente.","","01-09-2014",""
"8","wijk","Eenheid binnen een bebouwingskern die ruimtelijk min of meer een afgesloten geheel vormt.","","01-09-2014",""
"9","buurt","Kleine eenheid binnen een plaats, doorgaans met een zekere mate van sociale samenhang.","","01-09-2014",""
